time,seconds_elapsed,relativeAltitude,pressure
1615525895016980700,16.183980712890627,1.019918441772461,1010.144287109375
1615525895194209000,16.361208984375,1.0225601196289062,1010.14404296875
1615525895375614700,16.54261474609375,1.041055679321289,1010.141845703125
1615525895555614700,16.72261474609375,0.9697151184082031,1010.150390625
1615525895734645800,16.901645751953126,0.9697151184082031,1010.150390625
1615525895915416000,17.082416015625,0.9380073547363281,1010.154052734375
1615525896095416000,17.262416015625,0.8032512664794922,1010.170166015625
1615525896284891000,17.451890869140627,0.8032512664794922,1010.170166015625
1615525896455444000,17.62244384765625,0.8481712341308594,1010.164794921875
1615525896647531000,17.814531005859376,1.0754051208496094,1010.1376953125
1615525896816634000,17.983634033203124,1.072763442993164,1010.137939453125
1615525896997826000,18.164825927734373,1.0806903839111328,1010.136962890625
