,Unnamed: 0,Pin Code,Video Timestamp,Time Passed,X-Coord (Both),Y-Coord (Both),X-Coord (Head),Y-Coord (Head),X-Coord (Eye),Y-Coord (Eye),Current Timestamp,Accelerometer_y,Accelerometer_z,Accelerometer_x,Barometer_relativeAltitude,Barometer_pressure,Gravity_y,Gravity_z,Gravity_x,Gyroscope_y,Gyroscope_z,Gyroscope_x,Light_lux,Magnetometer_y,Magnetometer_z,Magnetometer_x,Orientation_qy,Orientation_qx,Orientation_yaw,Orientation_qw,Orientation_qz,Orientation_roll,Orientation_pitch
35,35,3717,2021-03-12 13:11:26,1203.2085561497329,522,1081,465,1061,57,20,2021-03-12 13:11:27.203,-0.4052877426147461,0.8384928703308105,0.5972469449043274,1.120325088500977,1010.13232421875,9.42185115814209,2.719290971755981,0.06714402884244919,0.09054747968912123,-0.03621899336576462,0.007456851191818714,122.0,60.84000015258789,-37.5,-29.45999908447266,-0.1527529954910279,0.5813959836959839,0.4810345470905304,0.7743480205535889,-0.1975599974393845,-0.02468672581017017,-1.289734363555908
36,36,3717,2021-03-12 13:11:26,1236.6310160427804,522,1086,462,1067,60,19,2021-03-12 13:11:27.237,-0.4574041366577149,1.178766012191772,0.251558780670166,1.120325088500977,1010.13232421875,9.4260835647583,2.704629182815552,0.06327873468399048,0.0788295716047287,-0.02237055450677872,0.07776430249214172,122.0,60.84000015258789,-37.5,-29.45999908447266,-0.1523620039224625,0.5821409821510315,0.4809164702892304,0.7739980220794678,-0.1970340013504029,-0.02339218556880951,-1.291294455528259
37,37,3717,2021-03-12 13:11:26,1270.0534759358286,523,1092,464,1073,59,19,2021-03-12 13:11:27.270,-0.1852426528930664,0.6046156883239746,0.4564733505249024,1.120325088500977,1010.13232421875,9.431649208068848,2.685017347335815,0.06905395537614822,-0.02769687585532665,-0.004261057823896408,0.05219795927405357,122.0,60.84000015258789,-37.5,-29.45999908447266,-0.1527410000562668,0.5828999876976013,0.4784896075725555,0.7734540104866028,-0.1966329962015152,-0.02571258507668972,-1.293359160423279
38,38,3717,2021-03-12 13:11:26,1303.475935828877,525,1095,464,1075,61,20,2021-03-12 13:11:27.303,-0.2285976409912109,0.3711462020874024,0.6483535766601562,1.120325088500977,1010.13232421875,9.43190860748291,2.683855056762696,0.07828662544488907,-0.05326322466135025,-0.02663161233067513,-0.09161274135112762,115.0,60.89999771118164,-37.43999862670898,-29.51999855041504,-0.153437003493309,0.5827680230140686,0.4762720465660095,0.7733799815177917,-0.1967740058898926,-0.02916119992733002,-1.293455958366394
39,39,3717,2021-03-12 13:11:26,1336.898395721925,528,1097,466,1078,62,19,2021-03-12 13:11:27.337,-0.5763406753540039,1.490058660507202,0.6195224523544312,1.120325088500977,1010.13232421875,9.430098533630373,2.690217733383179,0.0783873125910759,0.06285060197114943,-0.04900216311216354,0.06178534030914306,115.0,60.95999908447266,-37.43999862670898,-29.51999855041504,-0.1534470021724701,0.5824869871139526,0.4765571355819702,0.7735530138015747,-0.1969189941883087,-0.02912966534495354,-1.292782306671143
40,40,3717,2021-03-12 13:11:26,1370.3208556149732,533,1104,470,1086,63,18,2021-03-12 13:11:27.370,-0.456538200378418,1.063361644744873,0.5757042169570923,1.120325088500977,1010.13232421875,9.439582824707033,2.657227754592896,0.05995631217956542,0.09374327212572098,-0.07456851005554199,0.1075917109847069,115.0,60.95999908447266,-37.38000106811523,-29.51999855041504,-0.1528750061988831,0.5840790271759033,0.4821979403495789,0.7724580168724059,-0.196946993470192,-0.02255965396761894,-1.296328544616699
41,41,3717,2021-03-12 13:11:26,1403.7433155080216,530,1116,465,1096,65,20,2021-03-12 13:11:27.404,-0.1978397369384766,0.5194261074066162,0.3511717021465301,1.120325088500977,1010.13232421875,9.444246292114258,2.640920162200928,0.04506868496537209,0.009587380103766918,-0.02769687585532665,-0.04261057823896408,115.0,60.95999908447266,-37.38000106811523,-29.51999855041504,-0.1521670073270797,0.584975004196167,0.4864796698093414,0.7719389796257019,-0.1968729943037033,-0.01706386730074883,-1.298088550567627
42,42,3717,2021-03-12 13:11:26,1437.1657754010696,530,1116,466,1097,64,19,2021-03-12 13:11:27.437,-0.4352664947509766,1.106093645095825,0.4327471554279328,1.120325088500977,1010.13232421875,9.442253112792967,2.648014545440674,0.04489610344171524,0.03408846259117126,-0.04793690145015717,0.06391586363315582,115.0,61.02000045776367,-37.38000106811523,-29.51999855041504,-0.1525419950485229,0.5845680236816406,0.4881472289562225,0.7720029950141907,-0.1975370049476624,-0.01695300452411175,-1.297334909439087
43,43,3717,2021-03-12 13:11:26,1470.5882352941173,532,1117,469,1098,63,19,2021-03-12 13:11:27.471,-0.3854646682739258,0.5701863765716553,0.5936307907104492,1.120325088500977,1010.13232421875,9.445123672485352,2.638043880462646,0.02287614159286023,-0.01171790901571512,-0.0926780104637146,-0.05752427875995636,115.0,60.95999908447266,-37.43999862670898,-29.45999908447266,-0.1520220041275024,0.5851380228996277,0.4969432651996613,0.7714440226554871,-0.1984319984912873,-0.0086714131757617,-1.298420667648315
44,44,3717,2021-03-12 13:11:26,1504.0106951871658,536,1117,472,1095,64,22,2021-03-12 13:11:27.504,-0.5409164428710938,1.226534128189087,0.0387348085641861,1.120325088500977,1010.13232421875,9.44255828857422,2.647284269332886,0.01752893440425396,0.04048004746437073,-0.02982740476727486,-0.02982740476727486,115.0,60.84000015258789,-37.43999862670898,-29.39999961853027,-0.1519230008125305,0.5847610235214233,0.499634176492691,0.7716190218925476,-0.1989410072565079,-0.006621381733566523,-1.297449946403503
45,45,3717,2021-03-12 13:11:26,1537.4331550802135,538,1116,472,1093,66,23,2021-03-12 13:11:27.537,-0.4760456085205078,1.559957265853882,0.2749886214733124,1.120325088500977,1010.13232421875,9.444725036621094,2.639472723007202,0.02069528959691525,0.07243798673152924,-0.02343581803143024,0.1778991669416428,115.0,60.59999847412109,-37.5,-29.39999961853027,-0.1522250026464463,0.5850229859352112,0.4987810850143433,0.7713680267333984,-0.1989089995622635,-0.007840530946850777,-1.298269629478455
46,46,3717,2021-03-12 13:11:26,1570.855614973262,541,1118,477,1096,64,22,2021-03-12 13:11:27.571,-0.24176025390625,0.2549521923065185,0.774073600769043,1.099185943603516,1010.134765625,9.469013214111328,2.55105209350586,-0.004337736871093512,0.2077265679836273,-0.08735168725252151,0.1629854589700699,108.0,60.3599967956543,-37.5,-29.34000015258789,-0.1508270055055619,0.5892230272293091,0.5034056901931763,0.7688829898834229,-0.1971909999847412,0.001700370223261416,-1.30762779712677
47,47,3717,2021-03-12 13:11:26,1604.2780748663101,546,1117,482,1096,64,21,2021-03-12 13:11:27.604,-0.3888721466064453,0.2022092342376709,0.3050454556941986,1.099185943603516,1010.134765625,9.467684745788574,2.555911064147949,-0.01893836259841919,-0.0415453128516674,-0.04900216311216354,-0.1086569726467133,108.0,60.11999893188477,-37.55999755859375,-29.34000015258789,-0.1501370072364807,0.5891889929771423,0.5086908340454102,0.7689440250396729,-0.1975809931755066,0.007409497164189814,-1.30710780620575
48,48,3717,2021-03-12 13:11:26,1637.7005347593579,550,1116,485,1095,65,21,2021-03-12 13:11:27.638,-0.4674005508422852,0.9448781013488771,0.06956950575113298,1.099185943603516,1010.134765625,9.46002197265625,2.584175109863281,-0.01330576464533806,-0.187486544251442,-0.01491370238363743,-0.1288969963788986,108.0,60.05999755859375,-37.61999893188477,-29.34000015258789,-0.1508509963750839,0.5877820253372192,0.5091859698295593,0.7696009874343872,-0.1986680030822754,0.005148895084857941,-1.304126381874084
49,49,3717,2021-03-12 13:11:26,1671.1229946524065,555,1113,485,1091,70,22,2021-03-12 13:11:27.671,-0.361480712890625,1.204854011535644,0.8520347476005554,1.099185943603516,1010.134765625,9.449870109558104,2.62108039855957,0.008680734783411026,0.04687163606286049,-0.02663161233067513,-0.02237055450677872,108.0,60.0,-37.73999786376953,-29.34000015258789,-0.1517080068588257,0.5859580039978027,0.5023278594017029,0.7707870006561279,-0.1988060027360916,-0.003311879700049758,-1.300225615501404
50,50,3717,2021-03-12 13:11:26,1704.5454545454545,561,1107,492,1086,69,21,2021-03-12 13:11:27.705,-0.3175783157348633,0.9433269500732422,0.5278254747390747,1.099185943603516,1010.134765625,9.449063301086426,2.624033689498901,0.002490209415555,0.06285060197114943,-0.03834952041506767,0.01597896590828896,108.0,60.0,-37.79999923706055,-29.34000015258789,-0.1512999981641769,0.5859349966049194,0.504150927066803,0.7708770036697388,-0.1988389939069748,-0.0009490002994425596,-1.299918293952942
51,51,3717,2021-03-12 13:11:26,1737.9679144385025,571,1103,501,1082,70,21,2021-03-12 13:11:27.738,-0.3693389892578125,1.091466426849365,0.3005610108375549,1.120325088500977,1010.132080078125,9.452939987182617,2.6099693775177,-8.870119927451015e-05,0.01065264455974102,-0.02024002373218536,0.05752427875995636,111.0,60.05999755859375,-37.86000061035156,-29.39999961853027,-0.1513449996709824,0.5865349769592285,0.5050881505012512,0.7704200148582458,-0.1988009959459305,3.398553235456347e-05,-1.3013995885849
